Company Name,Ticker,Market Cap ,Avg Volume,Beta,P/E (Trailing 12 Months),Current Ratio,Current ROE (TTM),12 Mo Trailing EPS,Price as a % of 52 Wk H-L Range,% Price Change (12 Weeks)
ROYAL BANK CDA,RY,99595.67,899886,1.19,13.23,0.87,16.36,5.07,100,5.57
RYANAIR HLDGS,RYAAY,20654.99,371811.06,0.8,14.2,1.85,32.97,5.8,74.54,8.06
RYERSON HOLDING,RYI,525.42,359322.94,2.27,23.58,2.78,-20.28,0.6,68.69,12.39
RAYONIER INC,RYN,3363.17,381808.66,0.38,45.62,2.14,5.37,0.6,93.18,-2.28
SABRE CORP,SABR,7294.31,4018657.5,0.94,25.77,0.85,44.83,1.01,43.38,-9.81
SANDERSON FARMS,SAFM,1839.96,689613.13,0.38,13.1,4.07,13.06,6.22,40.59,-15.21
SAFETY INS GRP,SAFT,1071.93,81820.75,0.68,16.97,0.37,9.43,4.17,96.32,4.27
SONIC AUTOMOTVE,SAH,933.3,267603,1.49,10.56,1.06,13.54,1.97,56.08,21.42
SAIA INC,SAIA,1051.13,229096.8,0.57,22.06,1.08,10.74,1.89,96.97,37.08
SCIENCE APP INT,SAIC,3728.44,320318.69,1.53,27.02,1.34,38.81,3.12,100,29.25
RETAILMENOT INC,SALE,448.6,375227.5,0.81,23.13,8.18,4.3,0.4,49.28,-20.87
SALEM MEDIA GRP,SALM,154.95,34314.9,1.43,14.29,1.35,5.24,0.42,53.02,-5.66
BOSTON BEER INC,SAM,2234.79,167437.75,0.38,28.34,1.92,18.49,6.28,42.68,-3.34
SILVERCREST AM,SAMG,108.26,17311.35,1.29,18.68,0.98,15.58,0.72,97.05,8.12
BANCO SANTAN SA,SAN,64666.53,5897181,1.72,10.18,1.4,6.06,0.44,44.63,-1.97
SANDSTORM GOLD,SAND,572.43,1868591.63,-0.35,94,4.14,1.62,0.04,38.5,-42.51
SANMINA CORP,SANM,2470.62,598697.25,1.18,14.57,1.7,11.73,2.31,100,25.75
SAP AG ADR,SAP,103832.81,919359.13,1.36,26.01,1.16,15.8,3.25,61.46,-6.5
SARATOGA INVEST,SAR,115.71,20941.5,0.51,10.94,0.16,8.34,1.85,100,11.52
SANDY SPRING,SASR,876.05,143712.75,0.8,17.55,1.05,9.58,2.09,99.74,17.83
ECHOSTAR CORP,SATS,4728.52,148251.5,0.84,22.43,6.78,5.28,2.24,97.06,28.65
SPIRIT AIRLINES,SAVE,3779.49,1034327.13,0.76,12.45,1.93,24.09,4.38,100,36.51
SEACOAST BKNG A,SBCF,760.12,223001.2,0.79,22.46,0.8,7.99,0.89,100,17.59
SINCLAIR BROADC,SBGI,2932.01,1662079.75,1.65,15.55,1.32,38.65,2.08,69.58,10.79
SALLY BEAUTY CO,SBH,3808.8,2331967.75,0.67,15.28,2.4,-83.65,1.73,20.1,-4.52
SIGNATURE BANK,SBNY,8026.15,742094.81,0.78,18.74,0.9,12.7,7.98,76.43,25.88
SABINE RYLTY TR,SBR,506.62,17762.95,0.46,17.29,5.93,713.28,2.01,63.43,-5.7
SABRA HEALTHCR,SBRA,1466.39,600144.44,1.18,9.48,3.23,7.05,2.37,65.5,-13.14
SABESP -ADR,SBS,5973.88,1993236.25,1.97,8.74,0.83,16.15,1,72.4,-9.34
SOUTHSIDE BANCS,SBSI,1003.86,94051.95,0.58,20.4,0.62,10.72,1.87,99.44,18.09
STARBUCKS CORP,SBUX,84660.62,10603601,0.77,30.62,1.05,49.88,1.9,61.48,3.84
SILVER BAY RLTY,SBY,617.73,205368.3,0.66,22.1,0.1,-1.09,0.79,74.96,-7.96
SANTANDER CNSMR,SC,4851.9,1977381,1.14,6.27,0.91,16.35,2.16,52.35,9.99
SURGICAL CARE,SCAI,1732.27,231343.3,0.54,26.8,1.07,7,1.6,44.83,0.92
SOUTHERN COPPER,SCCO,24983.88,1554684,0.63,37.15,2.73,12.08,0.87,87.75,22.42
SCANA CORP,SCG,10354.34,622174.94,0.22,17.37,0.78,10.71,4.17,80.82,-0.54
SOCIETE GENL FR,SCGLY,34123.25,352918.34,1.72,7.48,1.46,7.03,1.13,67.28,15.75
SCHOLASTIC CORP,SCHL,1575.22,121775.85,0.88,24.02,2.1,5.45,1.9,94.34,11.89
SCHNITZER STEEL,SCHN,751.57,462718.66,1.59,41.25,2.24,3.78,0.68,89.69,42.39
SCHWAB(CHAS),SCHW,50985.35,10735674,1.68,32.59,0.33,13.64,1.18,96.15,25.16
SERVICE CORP IN,SCI,5158.44,987237.69,0.83,22.76,0.64,20.38,1.19,77.35,0.86
STEPAN CO,SCL,1821.3,94539.2,1.13,18.48,2.85,16.74,4.4,100,13.65
SCICLONE PHARMA,SCLN,518.2,448488.75,1.65,12.53,7.49,22.1,0.81,35.97,-0.78
STELLUS CAP INV,SCM,148.64,63701.05,0.48,8.45,0.15,10.56,1.41,100,5.4
SUCAMPO PHARMAC,SCMP,786.1,600678.81,1.62,14.78,3.56,44.19,1.16,85.3,49
SWISSCOM AG ADR,SCMWY,22176.44,17225.8,0.58,13.51,0.81,33.32,3.17,1.95,-13.11
SUFFOLK BCP,SCNB,488.27,35686.75,0.88,23.56,0.97,10.01,1.74,98.58,16.58
STEELCASE INC,SCS,1875.59,549276.69,1.15,15.54,1.63,17.38,1.02,47.61,7.46
SCANSOURCE INC,SCSC,940.61,248118.55,1.15,13.8,1.91,9.26,2.71,61.17,5.38
SELECT COMFORT,SCSS,1038.59,638582.94,0.73,26.56,0.78,21.31,0.87,62.23,-12.3
SHOE CARNIVAL,SCVL,492.2,141328.55,0.9,17.09,4.02,8.51,1.53,55.49,-3.68
SEADRILL PTNRS,SDLP,246.91,484197.84,2.06,1.05,1.3,10.94,3.12,22.6,-7.08
SEADRILL LTD,SDRL,1246.47,7763161.5,2.43,1.47,0.71,8.15,1.67,18.06,0.41
SANDVIK AB,SDVKY,14764.13,10230.25,1.05,6.76,1.96,51.65,1.74,91.49,6.77
SPECTRA ENERGY,SE,28846.5,3500524,0.55,34.85,0.47,7.67,1.18,87.01,0.29
SEAWORLD ENTERT,SEAS,1519.64,2096541.75,0.53,55.1,0.64,6.17,0.31,52.05,30.98
SOLAREDGE TECH,SEDG,529.71,937791.31,-0.22,7.37,4.12,29.93,1.75,1.48,-26.08
SEALED AIR CORP,SEE,9083.54,1722477,1.35,17.93,1.04,92.87,2.62,60.26,-0.97
SEI INVESTMENTS,SEIC,7587.15,612377.63,1.43,24.19,5.4,25.02,1.96,64.45,3.8
SELECT MEDICAL,SEM,1687.19,1169019.5,1.07,17.23,1.46,9.53,0.74,80.15,5.99
SEMGROUP CORP-A,SEMG,2181.27,645350.88,1.87,34.38,1.47,3.33,0.96,87.28,2.77
SENECA FOODS-A,SENEA,370.62,28748.85,1.15,10.71,2.9,8.83,3.54,82.58,28.69
STORA ENSO -ADR,SEOAY,7570.75,208157.2,1.71,6.91,1.09,17.52,1.39,89.63,5.96
SPECTRA EGY PTR,SEP,13171.58,431066.25,0.65,11.99,0.34,10,3.59,41.19,-4.01
SERVICEMASTR GH,SERV,5217.83,1214396.75,1.06,20.06,0.94,44.95,1.93,63.11,2.79
STIFEL FINL,SF,3257.05,577181.69,1.56,22.65,0.72,6.71,2.17,93.34,28.69
SERVISFIRST BCS,SFBS,1921.05,123341.3,1.16,25.27,1,16.1,2.89,100,40.23
SHIP FIN INTL,SFL,1327.77,834518.63,1.42,7.28,2.44,15.48,1.95,52.71,-6.39
SHUTTERFLY INC,SFLY,1720.33,346478.31,1.3,36.72,1.86,10.48,1.38,84.09,0.96
SPROUTS FMR MKT,SFM,2914.9,3012474.25,0.67,23.01,1.19,17,0.89,11.97,-10.22
SIMMONS FIRST A,SFNC,1879.39,130876.4,0.9,18.55,0.86,9.08,3.24,100,21.61
COLONY STARWOOD,SFR,3055.95,931400.38,0.91,21.51,2.5,-4.36,1.4,78.13,-3.06
SMART&FINAL STR,SFS,976.9,331715.75,0.1,23.19,1.1,7.98,0.58,27.17,3.54
SOUTHN FIRST BC,SFST,201.7,11794.25,0.49,17.75,1.1,12.56,1.78,91.91,8.44
SINGAPORE TELE,SGAPY,42202.44,52198.25,0.9,15.39,0.79,15.24,1.72,32.47,-11.86
SUPERIOR UNIFRM,SGC,276.02,20939.65,-0.03,21.73,3.81,12.94,0.88,77.55,11.55
STONEGATE MORTG,SGM,120.41,19224.45,1.17,13.71,8.79,3.92,0.34,50.35,10.95
STAR GAS PTNRS,SGU,563.3,29958.35,0.19,30.78,1.29,5.89,0.32,94.92,8.12
SHAKE SHACK INC,SHAK,916.63,873048.69,1.2,81.73,3.14,7.12,0.45,36.98,1.57
SHORE BANCSHRS,SHBI,176.55,40526.15,0.29,19.1,0.93,6.16,0.73,82.65,18.64
SHENANDOAH TELE,SHEN,1401.42,216720.8,0.99,30.48,1.04,15.63,0.94,38.8,12.13
SHINHAN FIN-ADR,SHG,17891.57,62977.65,1.19,4.17,1.19,8.74,9.04,86.4,0.83
SCHULMAN(A) INC,SHLM,976,214673.59,1.6,16.49,1.68,13.97,2.01,88.41,25.71
SHELL MIDSTREAM,SHLX,2955.85,499521.09,1.21,20.23,7.16,56.13,1.33,6.63,-13.42
SUNSTONE HOTEL,SHO,3137.22,2307338.75,1.08,11.69,1.34,14.5,1.24,93.56,8.78
STEVEN MADDEN,SHOO,2273.44,592300.38,0.52,19.53,2.63,16.26,1.92,79.56,9.33
SHIRE PLC-ADR,SHPG,52923.16,1447865.63,1.46,13.83,1.25,14.81,12.71,41.66,-9.66
SHERWIN WILLIAM,SHW,25672.34,944003.13,0.98,22.61,1.47,97.87,12.22,50.82,-3.09
CIA SIDERUR-ADR,SID,5230.97,3215980.25,2.28,23.56,2.64,11.31,0.16,95.6,29.55
SIEMENS AG-ADR,SIEGY,95922.5,82757.45,1.44,15.85,1.23,15.26,7.12,73.74,-7.12
SI FINANCIAL GP,SIFI,172.32,22627.05,0.31,26.6,1.1,3.98,0.53,85.46,6.5
SIGNET JEWELERS,SIG,6941.13,1589496.25,1.17,13.08,3.41,19.67,7.02,31.04,13.22
SELECT INS GRP,SIGI,2415.49,243626.5,1.22,14.86,0.3,10.96,2.81,96.06,2.86
SILICOM LIMITED,SILC,289.92,34017.65,1.29,18.79,4.97,12.46,2.11,82.09,-2.22
SILICON MOTION,SIMO,1636.65,523613.09,0.86,16.52,2.74,26.18,2.81,66.81,-12.04
SINA CORP,SINA,5602.44,1285866.75,1.4,41.6,1.73,5.05,1.9,88.36,-6.07
SELECT INCOME,SIR,2261.66,308550.5,0.77,8.69,1.51,4.91,2.91,74.03,-8.8
SVB FINL GP,SIVB,8004.36,590397.06,1.44,21.64,0.58,10.44,7.1,96.78,43.2
SOUTH JERSEY IN,SJI,2690.33,395006.06,0.58,21.29,0.44,9.65,1.59,100,12.01
SMUCKER JM,SJM,14818.56,866115.19,0.56,16.9,1.38,12.41,7.53,23.73,-10.26
SHAW COMMS-CL B,SJR,9173.88,348997.59,0.93,18.29,0.48,11.74,1.08,73.62,-3.47
SJW CORP,SJW,1131.63,126661.25,0.21,21.87,0.88,13.23,2.53,97.09,27.2
SK TELECOM CO,SKM,13511.69,459255.75,0.63,10.9,1.06,9.72,1.95,63.83,-4.02
TANGER FACT OUT,SKT,3369.14,570920.25,0.42,14.92,0.37,42.5,2.35,44.74,-14.04
SKECHERS USA-A,SKX,3391.18,2121486.5,0.27,12.42,3.66,17.44,1.73,16.58,-11.61
SKYLINE CORP,SKY,104.3,20572.9,2.45,29.59,1.97,14.18,0.42,88.67,4.02
SKYWEST INC,SKYW,1945.5,368544.59,1.68,14.03,1.48,8.94,2.68,100,30.69
SILICON LAB INC,SLAB,2799.2,199350.8,1.16,37.67,3.26,9.8,1.78,98.37,17.18
SCHLUMBERGER LT,SLB,111193.34,4793895,1.08,52.24,1.76,5.06,1.53,82.72,1.45
SELECT BANCORP,SLCT,109.82,20632.8,0.32,16.28,1,6.77,0.58,100,14.29
SUTHERLAND ASST,SLD,116.21,78911.4,0.71,23.07,1.82,2.93,0.57,19.23,-4.71
SUN LIFE FINL,SLF,23454,654164.88,1.17,13.48,2.85,12.37,2.84,90.13,20.69
SL GREEN REALTY,SLG,10743.17,950862,1.21,12.46,0.14,3.85,8.51,63.72,-9.64
SILGAN HOLDINGS,SLGN,2796.04,657996.38,0.6,18.4,1.34,24.33,2.76,42.53,2.5
SLM CORP,SLM,4175.61,4911039.5,1.11,16.81,1.28,16.8,0.58,98.65,33.93
SIMULATION PLUS,SLP,167.09,39323.55,-0.2,33.45,6.09,23.44,0.29,63.42,6.13
SOLAR CAPITAL,SLRC,863.57,111257.85,0.44,12.31,0.99,7.83,1.66,83.16,-1.26
SILVER WHEATON,SLW,8242.44,6047576.5,0.93,32.77,8.23,5.34,0.57,40.14,-35.3
SOUTHN MISSOURI,SMBC,212.52,10814.1,0.47,14.29,1.03,12.03,2,85.8,14.96
SUPER MICRO COM,SMCI,1252.28,327332.09,0.29,18.91,2.38,10.15,1.38,45.77,18.85
SUMITOMO-MITSUI,SMFG,53451.3,1274037.5,1.4,9.57,0.98,5.76,0.79,90.58,5.73
SCOTTS MIRCL-GR,SMG,5552.21,687847.25,0.65,24.56,1.67,33.41,3.73,100,10.56
SEMICON MFG-ADR,SMI,5705.56,144127.25,0.69,19.23,1.72,6.96,0.35,86.54,18.69
SUMMIT MIDSTRM,SMLP,1588.87,207967.75,1.75,36,1.13,-4.67,0.6,72.96,-13.11
SUMMIT FINL GP,SMMF,262.14,19683.05,1,15.9,0.92,11.11,1.54,94.55,24.69
STANDARD MOTOR,SMP,1162.71,130549.75,1.74,18.86,1.73,15.04,2.7,97.3,11.54
STEIN MART INC,SMRT,234.13,329902.59,0.76,17.82,1.45,16.09,0.28,0,-37.23
SEMTECH CORP,SMTC,1855.55,404860.44,1.39,38.77,3.41,8.89,0.73,99.6,2.35
SNAP-ON INC,SNA,9737.18,432046.34,1.08,18.73,2.17,20.73,8.96,83.76,9.84
SUN BANCORP/NJ,SNBC,455.42,28524.5,0.9,65.14,1,2.63,0.37,91.34,4.1
STATE NATL COS,SNC,573.52,85189.2,0.71,11.79,0.99,17.65,1.16,97.49,32.82
SYNCHRONOSS TEC,SNCR,2240.97,512258.44,2.21,27.47,2.62,13.97,1.8,99.67,13.73
SONY CORP ADR,SNE,37220.24,972904.88,2.03,81.92,0.83,1.67,0.36,67.62,-12.02
SENIOR HOUSING,SNH,4344.72,2456769.75,0.53,9.73,1.42,3.27,1.88,46.15,-21.87
SCRIPPS NETWRKS,SNI,9045.24,1424690.5,1.12,12.6,1.5,34.21,5.56,83.3,10.89
INTRAWEST RESRT,SNOW,682.85,81913.55,0.97,19.74,1.12,17.91,0.87,93.46,16.88
CHINA PETRO&CHM,SNP,84398.87,153992.84,1.25,16.25,0.83,4.19,4.29,71.93,-5.09
SYNOPSYS INC,SNPS,9257.41,729253.88,0.88,31.05,0.93,12.15,1.97,98.14,2.29
NEW SENIOR INV,SNR,832.77,785233.25,0.92,7.98,1.92,-13.51,1.27,44,-17.22
SYNOVUS FINL CP,SNV,4713.4,948154.88,1.31,20.5,1.01,8.68,1.88,94.88,17.72
SYNNEX CORP,SNX,4666.75,162387.45,1.22,18.71,1.71,13.47,6.27,96.57,10.51
SANOFI-AVENTIS,SNY,104101.13,2211178.25,0.97,12.64,1.47,19.56,3.2,46.56,2.69
SOUTHERN CO,SO,47382.36,6106367.5,0.07,15.89,0.91,12.69,3.04,39.87,-7.33
SODASTREAM INTL,SODA,771.33,502934.66,1.16,22.84,3.01,9.6,1.59,97.86,29.67
SONOCO PRODUCTS,SON,5516.66,394770,1.03,20.16,1.67,17.84,2.74,100,4.28
SOUTHN NATL BCP,SONA,180.62,27460.65,0.3,17.33,0.96,8.56,0.85,92,15.44
SONUS NETWORKS,SONS,300.58,300916.56,2.13,121.6,2.42,1.51,0.05,18.39,-30.2
SP PLUS CORP,SP,619.29,62158.3,0.9,25.18,0.77,9.72,1.1,85.28,10.14
SPARTON CORP,SPA,238.6,75626.75,1.44,18.84,2.34,12.77,1.29,85.8,6.35
SPARTAN MOTORS,SPAR,306.19,141767,1.27,49.44,1.73,3.85,0.18,86.67,-7.96
SPECTRUM BRANDS,SPB,7154.15,534765.38,0.71,23.11,1.49,17.8,5.21,64.09,-10.5
SIMON PROPERTY,SPG,57285.59,1380199.75,0.65,17.05,1.16,36.22,10.69,6.92,-16.44
S&P GLOBAL INC,SPGI,30990.95,1594102.5,1.5,23.41,1.21,378.19,5.11,83.01,-4.91
SUBURB PROPANE,SPH,1691.15,263670.91,0.88,92.73,0.72,2.26,0.3,43.75,-16
SILICONWARE-ADR,SPIL,4655.3,217877.59,0.74,27.67,1.48,10.2,0.27,51.51,0
SPARK ENERGY,SPKE,437.28,122010,-1.87,11.37,0.99,16.38,2.3,49,-11.75
STEEL PTNRS HLD,SPLP,368.76,40261.65,0.72,4.55,3.24,11.1,3.1,29.04,-2.22
STAPLES INC,SPLS,6381.86,9021217,1.66,11.02,1.65,11.46,0.89,49.8,14.47
SAPIENS INTL NV,SPNS,721.21,44529.6,0.6,31.36,2.32,12.29,0.47,96.52,7.67
SPOK HOLDINGS,SPOK,387.14,62123.35,0.67,25.13,3.11,4.61,0.75,63.69,12.47
SAPPI LTD -ADR,SPPJY,3119.93,21592.8,1.09,10.32,1.79,27.45,0.57,100,16.44
SPIRIT AEROSYS,SPR,7132.4,1390608.75,1.26,12.72,1.92,29.92,4.61,97.89,27.32
SPS COMMERCE,SPSC,1148.6,96124.6,1.14,114.25,5.71,4.24,0.59,80.3,-0.19
SPARTAN NASH CO,SPTN,1411.54,186665.25,0.87,17.35,1.79,10.21,2.17,100,16.38
SPORTSMANS WRHS,SPWH,390.77,749429.88,-0.48,12.85,1.44,564.51,0.72,23.87,-11.48
SUNPOWER CORP-A,SPWR,950.93,2753627.25,2.76,4.8,1.63,16.65,1.43,2.33,-34.38
SPX CORP,SPXC,1017.43,381026.75,1.34,57.83,1.18,6.09,0.42,93.17,20.91
SOC QUIMICA MIN,SQM,7232.65,532265.69,1.14,29.87,3.6,10.19,0.92,85.08,0.29
SPIRE INC,SR,3024.71,267970.16,0.34,19.37,0.49,8.71,3.42,69.54,1.1
SPIRIT REALTY,SRC,5372.42,6012212,0.61,12.63,0.56,3.17,0.88,42.05,-18.25
FIRST SOURCE CP,SRCE,1016.57,50229.55,0.9,17.94,0.93,8.68,2.19,94.98,12.74
STERICYCLE INC,SRCL,6451.85,1067753.75,0.17,16.34,1.44,15.33,4.64,5.74,-9.17
SURMODICS,SRDX,317.02,58111.6,0.98,20.08,5.78,15.98,1.21,52.19,-15.3
SEMPRA ENERGY,SRE,25323.68,1804783.25,0.52,21.32,0.43,9.41,4.75,51.89,-4.54
SERITAGE GROWTH,SRG,1231.13,228696.84,1.15,20.28,4.02,-2.67,2.35,59.93,-1.26
STONERIDGE INC,SRI,448.27,160977.66,1.49,12.1,2.13,29.86,1.33,65.24,-10.56
SPRAGUE RESRCS,SRLP,260.81,14492.55,1.51,13.03,1.48,24.98,1.78,75.31,-6.07
SOUTH STATE CP,SSB,2065.88,84687.8,0.97,18.91,0.93,9.98,4.51,92.7,12.13
SIMPSON MFG INC,SSD,2247.55,264250.81,1.32,26.26,5.05,10.07,1.8,94.91,5.37
SS&C TECHNOLOGS,SSNC,6149.35,1208796.75,1.13,22.29,1,12.92,1.36,39.43,-10.27
EW SCRIPPS CO,SSP,1433.31,692063.38,1.69,39.29,2.73,4,0.44,49.79,1.29
SWISS RE LTD,SSREY,32953.84,56330.75,0.77,1.97,0.27,11.97,11.6,55.85,4.55
SILVER STD RES,SSRI,1189.91,2136088.5,0.44,17.19,5.15,9.23,0.58,53.05,-26.64
SHUTTERSTOCK,SSTK,1688.65,416699.41,1.72,47.59,1.74,12.78,1.01,56.99,-18.75
SEASPAN CORP,SSW,959.51,863533,1.11,7.15,1.18,10.38,1.27,3.75,-34.49
SENSATA TECHNOL,ST,6320.11,1388702,1.37,13.26,2.08,27.16,2.79,41.16,-1.96
STAG INDUSTRIAL,STAG,1802.77,536351.5,1.16,15.19,0.11,-2.54,1.57,85.13,-4.56
EXTENDED STAY,STAY,3082.36,933128.31,0.92,16.42,0.13,13.15,0.95,74.4,9.4
STUDENT TRANSPT,STB,528.02,140055.3,0.76,114.8,1.52,3.52,0.05,89.97,-0.52
S&T BANCORP INC,STBA,1238.36,137910.84,0.94,17.39,0.96,8.71,2.04,100,23.85
STATE BANK FINL,STBZ,917.35,148025.34,0.81,18.7,0.84,8.97,1.33,90.37,8.84
STEWART INFO SV,STC,1110.82,161862.16,0.94,29.52,2.88,7.82,1.61,99.68,1.76
STERIS PLC,STE,5698.96,527992.88,1.3,18.79,2.58,9.89,3.56,28.97,-6.11
SUNTRUST BKS,STI,25099.41,4621886,1.36,14.41,0.97,8.18,3.55,93.74,17.86
ST JUDE MEDICAL,STJ,22771.56,1830507.38,1.26,20.08,1.93,27.02,3.97,87.81,1.01
SUNOPTA INC,STKL,625.16,324689.56,1.44,40.56,1.47,3.75,0.18,97.58,7.2
STERLING BANCP,STL,3061.9,1396688.13,1.06,21.57,0.94,7.9,1.05,91.44,29.28
STEEL DYNAMICS,STLD,8589.6,4436681,1.33,22.3,3.95,14.52,1.58,97.24,41.09
STMICROELECTRON,STM,8709.66,2260120.5,0.9,75.85,2.82,2.46,0.13,99.57,32.53
STAMPS.COM INC,STMP,1885.1,436596.59,0.23,18.86,1.86,30.57,5.86,77.02,12.4
STANTEC INC,STN,3013.84,21743.25,1.46,22.23,1.51,10.28,1.19,94.89,8
SCORPIO TANKERS,STNG,712.49,2985601.75,2,12.75,0.61,3.94,0.32,7.33,-19.05
STORE CAPITAL,STOR,3926.87,1163676.13,0.41,16.15,0.7,5.22,1.56,31.9,-16.12
STRAYER EDUC,STRA,811.3,104260.2,0.88,22.57,2.48,21.76,3.24,95.46,51.6
STRATTEC SEC CP,STRT,143.52,15055.9,1.59,19.61,2.07,4.71,2.04,24.18,-1.62
STARZ-LIB CAP-A,STRZA,2971.85,2059305.25,0.04,18.96,2.59,77.85,1.79,87.23,9.59
SUPREME INDS -A,STS,242.66,259437.95,0.83,11.74,4.09,21.67,1.21,61.4,-15.88
STATE ST CORP,STT,29705.46,2161701.5,1.32,15.4,0.5,11.59,5,92.13,9.44
STARWOOD PROPRT,STWD,5411.22,1826790.75,0.66,11.4,3.33,11.76,1.99,90.27,-2.45
SEAGATE TECH,STX,11633.66,3725370,1.99,14.52,1.51,49.42,2.72,98.48,14.59
CONSTELLATN BRD,STZ,31327.95,2210098.25,0.59,26.32,1.44,17.69,5.92,57.45,-6.62
SUBSEA 7 SA,SUBCY,3641.99,13997.25,1.86,7.18,1.22,9.83,1.55,87.24,1.97
SUMMIT MATERLS,SUM,1779.6,2884283,2,21.22,1.84,17.05,1.11,88.86,24.67
SUNOCO LP,SUN,2047.02,1392378.5,0.68,19.3,1.23,6.3,1.11,1.14,-29.84
SOLAR SENIOR CP,SUNS,268.26,66128.75,0.45,11.71,0.76,7.94,1.43,93.67,-1.06
SUPERIOR INDS,SUP,643.76,157236.5,0.82,12.91,3.7,12.38,1.96,59.24,-15.98
SUPERNUS PHARMA,SUPN,1101.55,653672.38,1.86,46.35,1.74,20.99,0.48,73.23,0.27
SVENSKA CELLULS,SVCBY,16996.09,15896.6,0.62,21.06,1.04,10.02,1.26,13.24,-16.56
SILVERCORP METL,SVMLF,432.96,169576.55,1.31,23.55,2.16,6.57,0.11,68.62,-24.73
SEVEN&I HLD-ADR,SVNDY,35413.36,51294.55,0.4,24.36,1.11,7.13,0.82,15.38,-8.66
SUPERVALU INC,SVU,1261.22,3389447.25,1.96,6.97,1.09,-46.28,0.68,21.71,-16.7
SWEDBANK AB-ADR,SWDBY,26047.46,23978.3,1.27,11.34,1.68,15.43,2.03,86.91,-0.15
SWIFT TRANSPORT,SWFT,3269.59,2847061.75,1.93,16.92,1.55,32.99,1.46,94.93,29.05
SMITH & WESSON,SWHC,1350.62,3107503.75,0.85,11.32,2.89,42.17,2.12,47.13,-14.16
SIERRA WIRELESS,SWIR,491.98,291603.66,1.85,80.79,1.84,1.7,0.19,53.2,6.52
STANLEY B&D INC,SWK,18072.13,1144070.25,1.13,18.06,1.23,16.77,6.64,83.59,-2.39
SKYWORKS SOLUTN,SWKS,14348.56,2290448.5,1.11,14.97,9.52,28.16,5.16,66.64,5.77
SCHWEITZER-MAUD,SWM,1305.72,156471.5,1.06,12.65,2.78,20.55,3.38,97.61,6.87
SOUTHWEST GAS,SWX,3618.13,247907.7,0.46,24.19,0.89,9.26,3.15,90.62,6.71
SUNCOKE ENERGY,SXC,737.2,1083794.25,1.33,49.91,1.49,2.43,0.23,90.45,63.77
SUNCOKE ENERGY,SXCP,921.95,573776.88,1.25,9.98,1.47,14.64,2,89.35,36.46
STANDEX INTL CO,SXI,1127.76,50046.65,1.48,20.25,3.01,14.96,4.37,83.49,2.54
SUNOCO LOGISTIC,SXL,7297.74,2591592,1.08,42.76,1.32,6.58,0.53,41.19,-24.77
SENSIENT TECH,SXT,3497.52,183995.7,0.92,25.09,3.39,16.28,3.13,100,4.65
STOCK YARDS BCP,SYBT,943.68,84066.75,0.63,23.62,0.9,13.36,1.77,89.6,31.57
SYNCHRONY FIN,SYF,27900.75,7939638.5,0.89,12.71,1.51,16.61,2.66,90,22.42
STRYKER CORP,SYK,43215.51,1925115.25,0.86,20.68,2.43,23.61,5.58,79,-1.27
SYKES ENTRP INC,SYKE,1228.08,239051.3,0.75,15.23,3.02,11.19,1.88,43.18,-4.95
SYMANTEC CORP,SYMC,15161.55,11078877,1.23,32,1.84,11.62,0.76,87.23,-1.98
SYNAPTICS INC,SYNA,1855.63,602980.94,1.39,17.43,2.38,15.27,3.05,11.68,-7.82
SYNTEL INC,SYNT,1631.56,699917.94,1.17,6.83,1.07,28.09,2.84,1.93,-54.28
SYNUTRA INTL,SYUT,294.79,529520.94,1.59,12.38,0.93,17.66,0.42,90.65,32.65
SYSCO CORP,SYY,29474.11,4461797,0.49,23.95,1.52,35.49,2.25,98.01,0.8
AT&T INC,T,242446.7,22174004,0.35,14.05,0.79,14,2.81,61.52,-4.24
TRAVELCENTERS,TA,262.26,256394.91,2.77,96.43,1.3,0.52,0.07,18.97,-1.46
TRANSALTA CORP,TAC,1554.68,70250.6,0.59,77.14,0.94,0.56,0.07,94.92,18.94
TAHOE RESOURCES,TAHO,2967.59,2748311.5,0.6,12.23,1.99,9.91,0.78,27.68,-35.45
MOLSON COORS-B,TAP,21497.45,1722754.25,0.98,31.56,6.82,7.21,3.17,59.45,-6.15
TARO PHARMA IND,TARO,4509.25,236088.55,0.78,8.32,6.99,27.89,12.68,18.58,-16.28
TASER INTL INC,TASR,1440.37,1168067.75,0.32,95,2.49,10.96,0.29,87.29,4.32
CARROLS RESTRNT,TAST,487.37,318550.75,-0.19,22.3,0.49,23.6,0.61,71.82,0.15
LIBERTY TAX INC,TAX,158.71,50717.95,0.73,9.92,3.41,18.09,1.27,18.62,-1.56
TRUEBLUE INC,TBI,889.93,309870.44,2.26,10.27,1.79,16.47,2.04,31.79,-7.3
TRIUMPH BANCORP,TBK,391.97,36440.8,0.55,21.02,0.92,7.16,1.03,95.1,12.76
TERRITORIAL BCP,TBNK,313.62,18978.9,0.25,19.01,0.87,7,1.69,98.19,10.64
TCF FINL CORP,TCB,2903.56,1596813.63,1.02,14.51,1.02,10.1,1.17,95.74,16.78
TEXAS CAP BCSHS,TCBI,3280.73,617444.06,1.29,25.11,1.21,9.15,2.84,90.58,37.17
TRICO BANCSHRS,TCBK,714.71,53536.85,0.89,16.39,0.79,9.34,1.91,90.16,16.87
TENCENT HOLDING,TCEHY,236674.17,1033984.31,1.24,40.98,1.19,28.32,0.61,71.65,-9.51
