Company Name,Ticker,Market Cap ,Avg Volume,Beta,P/E (Trailing 12 Months),Current Ratio,Current ROE (TTM),12 Mo Trailing EPS,Price as a % of 52 Wk H-L Range,% Price Change (12 Weeks)
APOGEE ENTRPRS,APOG,1380.12,226911.34,1.37,17.69,2.02,18.68,2.7,79.28,-1.12
APOLLO GROUP,APOL,1036.93,589453.13,0.76,16.96,1.52,5.79,0.56,99.68,6.86
PREFERRED APTMT,APTS,345.26,188214.34,0.67,10.51,0.07,-2.14,1.33,70.46,0.07
AMERIGAS PARTNR,APU,4199.19,218444.41,0.3,54.45,0.89,15.31,0.83,73.42,-1.74
ALGONQUIN POWER,AQN,2206.14,21240.7,0.88,19.63,0.84,7.74,0.41,34.09,-14.9
ANTERO RESOURCE,AR,7782.5,3653874.75,1.07,55.09,1.14,1.73,0.45,51.64,-6.52
ARC DOC SOLUT,ARC,216.54,106776.5,2.24,16.82,1.75,7.55,0.28,82.5,31.2
ARCBEST CORP,ARCB,776.38,335311.5,1.42,36.07,1.34,3.81,0.84,99.68,62.29
ARES CAP CP,ARCC,5029.54,2038849.25,0.66,10.07,1.3,9.57,1.59,90.15,-2.2
ARCOS DORADOS-A,ARCO,1243.19,399931,2.21,19.03,0.84,20.08,0.31,87.03,18.95
ARC LOGISTICS,ARCX,192.1,32027,0.88,19.64,1.24,4.04,0.74,76.74,-1.36
ALEXANDRIA REAL,ARE,8872.13,545580.94,0.88,20.61,0.3,-1.37,5.42,93.47,-0.61
ARES MANAGEMENT,ARES,1361.53,63235.95,1.14,14.28,0.4,25.44,1.18,71.65,-7.67
AMER RAILCAR,ARII,852.32,112886.05,2.36,8.91,3.27,17.86,4.94,38.27,8.61
ALLIANCE RES,ARLP,1777.56,444491.94,0.62,8.48,0.4,31.21,2.82,88.98,10.85
ARAMARK HOLDING,ARMK,8551.49,2394312.5,0.58,22.33,1.14,18.96,1.57,62.46,-7.83
ARCONIC INC,ARNC,8624.86,6191358.5,0.91,17.88,1.7,3.86,1.1,14.04,-36.47
ARROW FINL CORP,AROW,525.89,26031.9,0.5,19.76,0.8,11.92,1.98,97.27,22.93
ARMOUR RES REIT,ARR,825.67,513253.25,0.61,7.37,0.1,11.54,3.05,87.17,-0.79
ARRIS INTL PLC,ARRS,5586.78,1216793.5,1.29,11.86,1.74,17.33,2.47,72.76,3.83
ARTESIAN RES,ARTNA,269.99,23415.1,0.11,24.65,0.76,8.99,1.33,79.55,20.64
AROTECH CORP,ARTX,101.79,515834.84,1.25,42.78,2.11,3.57,0.09,91.7,31.4
ARROW ELECTRONI,ARW,6127.68,434979.31,1.23,10.4,1.66,13.95,6.58,100,5.34
ASSA ABLOY AB,ASAZY,19434.03,93389.05,1.17,21.93,1.14,18.38,0.42,14.31,-11.66
ASSOC BANC CORP,ASB,3370.51,931145.19,1.18,18.82,0.88,6.46,1.19,90.81,14.93
ARDMORE SHIPPIN,ASC,224.38,430121.59,1.4,11.36,1.66,4.09,0.59,16.62,-6.29
ASAHI GLASS ADR,ASGLY,7482.18,14940.05,0.41,22.52,1.78,3.33,0.28,72.37,2.27
ON ASSIGNMENT,ASGN,2213.3,392839.66,2.1,15.78,2.5,17.34,2.65,67.54,10.08
ASHLAND GLOBAL,ASH,7114.57,565755.75,0.98,17.05,2.36,15.23,6.71,73.95,-3.14
ASML HOLDING NV,ASML,43991.91,786524.69,1.24,32.23,2.82,14.82,3.22,78.9,-3.84
ASCENA RETAIL,ASNA,1193.35,5343963.5,1.95,10.22,1.22,6.18,0.6,19.38,-19.66
ALTISOURCE PORT,ASPS,503.29,336888.56,1.08,4.59,2.37,177.6,5.81,45.37,-19.29
GRUPO AEROP-ADR,ASR,4053.8,74034.5,0.82,23.08,6.44,16.03,6.34,58.06,-8.35
ASTEC INDS INC,ASTE,1541.64,197355.34,1.29,33.12,3.1,7.36,2.02,97.58,12.95
ADV SEMICON ADR,ASX,8619.01,472288.91,0.62,15.97,1.21,11.61,0.34,56.67,-10.98
AMERICA FST TAX,ATAX,343.44,107143.4,0.66,13.9,6.22,8.38,0.41,75.32,-5
AUTOHOME INC,ATHM,3162.12,821987.81,2.08,18.52,2.66,21.34,1.51,48.68,13.79
ATHENAHEALTH IN,ATHN,3715.16,558891.81,1.85,97.06,1.71,6.6,0.97,0,-23.93
ATLAS COP-ADR A,ATLKY,25227.99,28167,1.12,23.3,1.72,27.34,1.29,90.49,2.42
AMES NATL CP,ATLO,274.21,12999.65,0.85,17.53,0.68,9.36,1.68,76.99,7.64
ATN INTL INC,ATNI,1194.61,54817.25,0.72,69.18,2.78,2.2,1.07,57.51,13.58
ATMOS ENERGY CP,ATO,7709,469517.69,0.28,21.81,0.38,10.33,3.4,65.04,-0.72
APTARGROUP INC,ATR,4744.46,286090.91,0.94,24.33,2.58,16.23,3.11,65.26,-4.76
ASTRONICS CORP,ATRO,1090.99,150815.8,1.28,19.27,2.85,16.66,1.95,58.21,-14.98
AIR TRANSPT SVC,ATSG,976.32,382513.75,1.84,26.87,1,10.56,0.61,96.25,13.11
ATENTO SA,ATTO,627.18,24660.7,0.01,11.04,1.87,13.89,0.77,35.77,-12.91
ACTUANT CORP,ATU,1530.04,461659.56,1.54,21.27,2.24,13.22,1.22,78.28,9.49
ACTIVISION BLZD,ATVI,28204.93,12111204,1.11,20.4,1.44,16.63,1.86,56.66,-12.78
ATWOOD OCEANICS,ATW,506.78,3944384,2.17,1.62,7.96,9.96,4.82,22.87,-4.4
AUDIOCODES LTD,AUDC,138.88,183323.05,0.53,31.25,1.77,7.02,0.2,98.04,11.81
YAMANA GOLD INC,AUY,2833.32,15249229,0.85,59.8,1.3,0.89,0.05,35.03,-38.86
AVISTA CORP,AVA,2703.43,300366,0.37,20.55,0.83,8.13,2.05,75.26,1.23
GRUPO AVAL SA,AVAL,2565.12,95586.25,0.64,10.44,1.04,10.94,0.7,50.61,-17.31
AVALONBAY CMMTY,AVB,22625.83,872570.63,0.39,20.09,0.17,9.57,8.2,16.03,-7.87
AMER VANGUARD,AVD,524.08,133101.09,1.24,43.54,2.4,4.36,0.41,96.28,7.27
BROADCOM LTD,AVGO,70587.4,2384161,1.24,19.17,2.22,25.06,9.15,96.81,2.54
AVG TECHNOLOGS,AVGTF,1308.84,103021.8,1.08,17.01,0.68,79.31,1.52,69.28,3.77
AVIANCA HOLDNGS,AVH,577.37,136459.05,0.78,17.05,0.63,6.24,0.41,87.1,-1.13
AV HOMES INC,AVHI,366.76,61967.25,1.3,2.89,0.39,39.98,5.63,89.81,0.43
AVID TECH INC,AVID,179.56,958254.19,2.05,2.83,0.63,-20.71,1.56,2.41,-49.66
AVNET,AVT,5882.51,805623.5,1.19,11.52,2.82,11.16,4,94.75,11.14
AVX CORP,AVX,2542.17,152501.5,0.89,21.71,9.37,5.44,0.7,97.4,10.47
AVERY DENNISON,AVY,6491.97,763657.38,1.07,18.75,0.98,35.98,3.89,71.52,-6.61
ALLIED WORLD AS,AWH,4081.08,427699.56,0.49,17.7,1.22,6.73,2.65,98.78,15.54
ARMSTRONG WORLD,AWI,2298.5,509967.75,1.37,20.22,1.86,22.79,2.06,39.56,-4.63
AMER WATER WORK,AWK,13524.67,1034156.63,0.23,26.85,0.42,9.85,2.83,68.69,0.11
AMER STATES WTR,AWR,1617.13,156907.5,0.4,27.13,0.76,12.65,1.63,69.04,11.13
ANIXTER INTL,AXE,2596.55,169562,1.92,17.46,2.12,12.19,4.5,96.99,21.76
AMER AXLE & MFG,AXL,1175.39,2211714.75,1.54,4.7,1.85,61.64,3.27,32.88,-10.54
AMER EXPRESS CO,AXP,65431.58,4549172.5,1.19,11.88,1.91,27.84,6.02,93.61,8.71
AXIS CAP HLDGS,AXS,5472.09,477795.25,0.47,13.48,0.49,8.62,4.59,96.19,8.41
AXALTA COAT SYS,AXTA,6374.65,1658249.63,1.7,24.78,2.26,21.01,1.07,58.84,-8.24
AXT INC,AXTI,161.17,254353.2,1.42,82.5,8.27,1.62,0.06,72.63,11.24
AMAYA INC,AYA,2160.44,325699.34,2.02,8.71,0.77,29.43,1.71,67.98,-6.76
ACUITY BRANDS,AYI,11116.22,497049,1.34,34.08,1.97,20.99,7.4,74.05,-7.33
AIRCASTLE LTD,AYR,1704.79,268770.34,1.65,11.98,0.15,8.02,1.81,84.39,1.55
ASTRAZENECA PLC,AZN,67577.47,7348755,0.83,6.6,0.84,31.3,4.05,4.05,-19.28
AUTOZONE INC,AZO,22807.12,301818.31,0.61,19.37,0.9,-69.23,40.79,78.64,7.19
ALLIANZ AG-ADR,AZSEY,72754.4,654304.63,1.43,10.01,0.05,9.49,1.59,54.96,5.5
AZZ INC,AZZ,1686.75,153977.34,1.42,21.69,2.07,15.84,2.99,86.81,-1.46
BARNES GRP,B,2492.67,194483.25,1.37,18.68,2.04,12.1,2.48,96.05,13.61
BOEING CO,BA,93587.05,3336780,1.02,23.66,1.28,126.01,6.41,100,14.02
ALIBABA GROUP,BABA,230842.14,14893629,2.93,45.67,2.02,13.29,2.08,70.55,-8.47
NATUS MEDICAL,BABY,1383.95,254250.95,1.16,25.8,2.98,13.53,1.63,59.47,-0.14
BANK OF AMER CP,BAC,205031.41,142074480,1.54,16.1,0.92,6.34,1.26,94.12,28.58
BANK CHINA LTD,BACHY,37713.64,25885.6,1.07,5.37,0.86,12.29,2.1,75.36,-4.85
